cart_health_score,cart_item_count,cart_fruits_and_vegetables,cart_whole_grain_foods,cart_meat_and_alternatives,cart_dairy_and_alternatives,cart_energy_kj,cart_energy_kj_missing,cart_fat,cart_fat_missing,cart_saturated_fat,cart_saturated_fat_missing,cart_carbohydrates,cart_carbohydrates_missing,cart_sugars,cart_sugars_missing,cart_fiber,cart_fiber_missing,cart_protein,cart_protein_missing,cart_salt,cart_salt_missing,cart_sodium,cart_sodium_missing,candidate_score,candidate_energy_kj,candidate_energy_kj_missing,candidate_fat,candidate_fat_missing,candidate_saturated_fat,candidate_saturated_fat_missing,candidate_carbohydrates,candidate_carbohydrates_missing,candidate_sugars,candidate_sugars_missing,candidate_fiber,candidate_fiber_missing,candidate_protein,candidate_protein_missing,candidate_salt,candidate_salt_missing,candidate_sodium,candidate_sodium_missing,candidate_fruits_and_vegetables,candidate_whole_grain_foods,candidate_meat_and_alternatives,candidate_dairy_and_alternatives,action,candidate_barcode,candidate_name,before_score,after_score,score_change,replaced_barcode
-1.0,3,0,0,0,0,655.789999485015,1,8.48999977111816,1,14.320000076293951,1,12.1000003814697,1,1.304999989271164,1,1.26999998092651,1,7.40000009536743,1,0.0,1,0.0,1,1.0,1180.09049773756,0,1.80995475113122,0,0.452488687782805,0,54.2986425339367,0,0.0,0,4.52488687782805,0,9.04977375565611,0,0.678733031674208,0,0.271493212669683,0,0,0,0,0,add,00020046,Whole Wheat Square Bread,-1.0,-0.5,0.5,
-2.0,3,0,0,0,0,3804.163440860215,0,68.6666666666667,0,51.7,1,40.9677419354839,0,4.90860215053763,0,14.7258064516129,0,26.4258064516129,0,1.9870967741935481,0,0.794838709677419,0,1.0,153.763440860215,0,0.0,0,0.0,1,4.3010752688172,0,1.0752688172043,0,3.2258064516129,0,3.2258064516129,0,0.0537634408602151,0,0.021505376344086,0,0,0,0,0,remove,0020000290157,BROCCOLI FLORETS PLAIN SELECT,-2.0,-3.5,-1.5,
-0.5,2,0,0,0,1,1193.1,0,11.3,0,3.5,0,32.5,0,3.5,0,3.8,0,11.3,0,1.28,0,0.512,0,-7.0,2530.7,0,45.7,0,34.0,0,43.8,0,39.7,0,0.0,1,5.6,0,0.17,0,0.068,0,0,0,0,0,add,00174503,Lapin passion,-0.5,-2.6667,-2.1667,
-3.5,2,0,0,0,0,995.8,0,9.5,0,4.6,0,33.099999999999994,0,13.399999999999999,0,0.0,1,4.8,0,11.7,0,4.680000000000001,0,-2.0,340.0,0,0.0,0,0.0,0,20.0,0,20.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0,0,0,0,replace,0008295661043,Balsamic Vinegar of Modena Bronze Eagle,-3.5,-2.5,1.0,0006769015323
-2.7777777777777777,9,0,0,0,1,9127.705970695964,0,50.51239961080579,0,18.75752335851648,1,340.11171388170663,0,190.54123154492567,0,93.44072527472525,1,42.63933262362633,0,6.643306983705019,0,2.6574155982897,0,-6.0,500.0,0,0.0,0,0.0,1,29.4117647058824,0,23.5294117647059,0,0.0,1,0.0,0,2.35294117647059,0,0.941176470588235,0,0,0,0,0,remove,0011110137487,tomato ketchup,-2.7778,-2.375,0.4028,
-2.3333333333333335,3,0,0,0,0,2767.8999999999996,0,3.9,0,0.5555232305555556,0,140.5,0,51.7,0,3.050906055555553,1,12.7,0,3.015,1,1.206,1,1.0,527.2,0,2.9,0,0.54,0,15.5,0,4.5,0,0.0,1,9.2,0,0.0,1,0.0,1,0,0,0,0,remove,0012182220121,Pechuga de pollo al estragón con patatas y cebolla,-2.3333,-4.0,-1.6667,
-1.3333333333333333,6,0,0,0,0,7855.338599657349,0,76.9285721915114,0,10.37614285714286,1,223.2214285714286,0,92.6671427045551,1,17.74428571428571,1,63.07428571428571,0,2.0914285714285707,1,0.836571428571429,1,-5.0,1735.6,0,34.9,0,21.7,0,0.5,0,0.5,0,0.5,0,25.4,0,21.7,0,8.68,0,0,0,0,0,replace,00123518,Mary Anne's Dairy mild cheddar cheese,-1.3333,-2.5,-1.1667,00195141
-1.2,5,0,0,0,0,6662.9031652957565,0,35.31999980926514,0,15.82,1,258.743902439024,0,46.945365853659,1,16.13,0,48.72804887585524,0,2.9585365853659003,1,1.18341463414636,1,-2.0,736.28,0,10.0,0,0.78,0,19.3,0,0.8,0,1.5,0,1.54,0,1.0275,0,0.411,0,0,0,0,0,add,00010122,Hashbrown Patty,-1.2,-1.3333,-0.1333,
-0.875,8,1,0,0,0,6717.867380952388,1,7.936507936507979,1,0.595238095238095,1,359.10650793650836,0,143.8323917460322,0,92.2583333333333,1,37.4773809523809,0,2.5995286507936997,1,1.039807460317478,1,0.0,18.8888888888889,0,0.0,0,0.0,0,0.833333333333333,0,0.0,0,0.0,0,0.277777777777778,0,0.00694444444444444,0,0.00277777777777778,0,0,0,0,0,replace,0003832072627,Extra Bold Cold Brew,-0.875,-0.625,0.25,0016000185623
-2.8,10,0,0,1,0,10699.324999999999,0,86.665,0,28.5225,0,386.4864285714286,0,239.18714285714287,0,13.44535714285714,1,47.95928571428571,0,6.116875,1,2.4467499999999998,1,1.0,793.3339,0,0.0,0,0.0,0,45.0,0,40.0,0,0.0,0,1.6667,0,0.04166675,0,0.0166667,0,1,0,0,0,add,0011110877369,Frozen orange juice plus calcium concentrate,-2.8,-2.4545,0.3455,
